driver,raceId,avgLapTime,points
Lewis Hamilton,354,78.96390140845071,222.0
Lewis Hamilton,355,108.85452727272727,240.0
Lewis Hamilton,841,92.97510344827586,18.0
Lewis Hamilton,842,105.53194642857143,22.0
Lewis Hamilton,843,103.89689285714284,47.0
Lewis Hamilton,844,94.0998275862069,59.0
Lewis Hamilton,845,90.0595606060606,77.0
Lewis Hamilton,846,100.07157692307692,85.0
Lewis Hamilton,847,116.64428571428572,85.0
Lewis Hamilton,848,105.65542105263158,97.0
Lewis Hamilton,849,102.88811538461538,109.0
Lewis Hamilton,850,97.50556666666667,134.0
Lewis Hamilton,851,92.1525,146.0
Lewis Hamilton,852,118.29108333333333,146.0
Lewis Hamilton,853,91.76583018867925,158.0
Lewis Hamilton,854,118.27086885245902,168.0
Lewis Hamilton,855,103.3527358490566,178.0
Lewis Hamilton,856,107.16387272727273,196.0
Lewis Hamilton,857,91.98641666666667,202.0
Lewis Hamilton,858,106.03429090909091,227.0
Lewis Hamilton,859,79.55976086956521,227.0
Lewis Hamilton,860,97.47655172413793,15.0
Lewis Hamilton,861,176.90005357142857,30.0
Lewis Hamilton,862,103.80251785714286,45.0
Lewis Hamilton,863,101.22761403508773,49.0
Lewis Hamilton,864,91.32249999999999,53.0
Lewis Hamilton,865,81.67510256410257,63.0
Lewis Hamilton,866,79.27980000000001,88.0
Lewis Hamilton,867,110.00494545454545,88.0
Lewis Hamilton,868,98.99521153846155,92.0
Lewis Hamilton,869,83.81346428571429,92.0
Lewis Hamilton,870,87.90584057971014,117.0
Lewis Hamilton,872,90.21171698113208,142.0
Lewis Hamilton,873,117.81268181818182,142.0
Lewis Hamilton,874,101.56098113207547,152.0
Lewis Hamilton,875,106.69714545454545,153.0
Lewis Hamilton,876,91.41088333333333,165.0
Lewis Hamilton,877,123.22500000000001,165.0
Lewis Hamilton,878,102.77266071428572,190.0
Lewis Hamilton,879,87.26598148148149,190.0
Lewis Hamilton,880,93.94458620689656,10.0
Lewis Hamilton,881,106.22967857142858,25.0
Lewis Hamilton,882,103.55833928571428,40.0
Lewis Hamilton,883,101.67943859649122,50.0
Lewis Hamilton,884,91.8086923076923,50.0
Lewis Hamilton,885,106.23012820512821,62.0
Lewis Hamilton,886,79.2155,77.0
Lewis Hamilton,887,107.44638461538463,89.0
Lewis Hamilton,888,101.69396666666667,99.0
Lewis Hamilton,890,87.84921428571428,124.0
Lewis Hamilton,891,114.77113636363637,139.0
Lewis Hamilton,892,89.56375471698114,141.0
Lewis Hamilton,893,118.13591803278689,151.0
Lewis Hamilton,894,113.07192727272728,161.0
Lewis Hamilton,895,113.20157142857144,161.0
Lewis Hamilton,896,92.07770000000001,169.0
Lewis Hamilton,897,108.46132727272726,175.0
Lewis Hamilton,898,106.86617857142858,187.0
Lewis Hamilton,899,79.28454929577464,189.0
Lewis Hamilton,900,103.20750000000001,0.0
Lewis Hamilton,901,107.60667857142857,25.0
Lewis Hamilton,902,104.96040350877193,50.0
Lewis Hamilton,903,103.80017857142857,75.0
Lewis Hamilton,904,91.89628787878787,100.0
Lewis Hamilton,905,84.31885897435897,118.0
Lewis Hamilton,906,87.21160869565217,118.0
Lewis Hamilton,907,74.32264788732395,136.0
Lewis Hamilton,908,169.46334615384615,161.0
Lewis Hamilton,909,84.26035820895522,176.0
Lewis Hamilton,910,97.01307142857142,191.0
Lewis Hamilton,911,118.68631578947368,191.0
Lewis Hamilton,912,89.62709433962264,216.0
Lewis Hamilton,913,120.07991666666666,241.0
Lewis Hamilton,914,152.34138636363636,266.0
Lewis Hamilton,915,103.97630188679244,291.0
Lewis Hamilton,916,107.22830357142857,316.0
Lewis Hamilton,917,76.11284507042254,334.0
Lewis Hamilton,918,108.04761818181818,384.0
Lewis Hamilton,926,95.07012068965517,25.0
Lewis Hamilton,927,108.47075,43.0
Lewis Hamilton,928,106.82157142857143,68.0
Lewis Hamilton,929,100.10191228070175,93.0
Lewis Hamilton,930,92.27433333333333,111.0
Lewis Hamilton,931,84.15991025641026,126.0
Lewis Hamilton,932,78.7592142857143,151.0
Lewis Hamilton,933,76.34830985915492,169.0
Lewis Hamilton,934,105.53325000000001,194.0
Lewis Hamilton,936,93.07260869565218,202.0
Lewis Hamilton,937,116.75318604651162,227.0
Lewis Hamilton,938,88.3148679245283,252.0
Lewis Hamilton,939,124.0203125,252.0
Lewis Hamilton,940,99.74543396226414,277.0
Lewis Hamilton,941,110.01932075471699,302.0
Lewis Hamilton,942,118.79826785714285,327.0
Lewis Hamilton,943,86.7181971830986,345.0
Lewis Hamilton,944,77.13867605633803,363.0
Lewis Hamilton,945,107.6081090909091,381.0
Lewis Hamilton,948,114.09868421052632,18.0
Lewis Hamilton,949,99.03235087719298,33.0
Lewis Hamilton,950,107.35930357142857,39.0
Lewis Hamilton,951,105.41545283018868,57.0
Lewis Hamilton,953,91.91196153846154,82.0
Lewis Hamilton,954,78.07565714285715,107.0
Lewis Hamilton,955,110.3666862745098,117.0
Lewis Hamilton,956,74.05784507042253,142.0
Lewis Hamilton,957,109.53521153846154,167.0
Lewis Hamilton,958,86.1445,192.0
Lewis Hamilton,959,81.25671641791044,217.0
Lewis Hamilton,960,143.60663636363637,232.0
Lewis Hamilton,961,87.98413207547169,250.0
Lewis Hamilton,962,114.04898360655739,265.0
Lewis Hamilton,963,103.3143,265.0
Lewis Hamilton,964,98.28507547169812,280.0
Lewis Hamilton,965,105.22532142857143,305.0
Lewis Hamilton,966,84.94932394366197,330.0
Lewis Hamilton,967,152.97654929577467,355.0
Lewis Hamilton,968,106.98205454545455,380.0
Lewis Hamilton,969,88.8008245614035,18.0
Lewis Hamilton,970,104.57425,43.0
Lewis Hamilton,971,98.9479649122807,61.0
Lewis Hamilton,972,102.4050576923077,73.0
Lewis Hamilton,973,87.21965151515153,98.0
Lewis Hamilton,974,80.77103846153845,104.0
Lewis Hamilton,975,79.78791428571428,129.0
Lewis Hamilton,976,145.91688235294117,139.0
Lewis Hamilton,977,69.23877464788733,151.0
Lewis Hamilton,978,95.83196078431374,176.0
Lewis Hamilton,979,85.70854285714286,188.0
Lewis Hamilton,980,115.51863636363636,213.0
Lewis Hamilton,981,85.51532075471698,238.0
Lewis Hamilton,982,127.64731034482759,263.0
Lewis Hamilton,983,96.67964285714287,281.0
Lewis Hamilton,984,99.0791320754717,306.0
Lewis Hamilton,985,100.55341071428572,331.0
Lewis Hamilton,986,83.36394285714285,333.0
Lewis Hamilton,987,77.34830985915494,345.0
Lewis Hamilton,988,102.87201818181819,363.0
Nick Heidfeld,1,97.6356724137931,0.0
Nick Heidfeld,2,108.1723870967742,4.0
Nick Heidfeld,3,127.84498214285713,4.0
Nick Heidfeld,4,98.79789285714286,4.0
Nick Heidfeld,5,89.26536363636365,6.0
Nick Heidfeld,6,79.02912987012988,6.0
Nick Heidfeld,7,90.50301724137931,6.0
Nick Heidfeld,8,84.83771186440678,6.0
Nick Heidfeld,9,97.75391666666665,6.0
Nick Heidfeld,10,85.34982857142857,6.0
Nick Heidfeld,11,101.75633333333333,6.0
Nick Heidfeld,12,114.59706818181817,10.0
Nick Heidfeld,13,88.00222641509434,12.0
Nick Heidfeld,14,114.78468421052632,12.0
Nick Heidfeld,15,100.18777358490567,15.0
Nick Heidfeld,16,85.99838095238096,15.0
Nick Heidfeld,17,103.08485454545455,19.0
Nick Heidfeld,18,98.20851724137931,8.0
Nick Heidfeld,19,98.72121428571428,11.0
Nick Heidfeld,20,96.05928070175439,16.0
Nick Heidfeld,21,90.33521212121212,16.0
Nick Heidfeld,22,90.48606896551725,20.0
Nick Heidfeld,23,100.77319444444444,20.0
Nick Heidfeld,24,82.8706,28.0
Nick Heidfeld,25,79.60462857142856,28.0
Nick Heidfeld,26,100.30028333333333,36.0
Nick Heidfeld,27,81.95073134328358,41.0
Nick Heidfeld,28,84.4968,41.0
Nick Heidfeld,29,102.00905263157894,41.0
Nick Heidfeld,30,113.38129545454545,49.0
Nick Heidfeld,31,98.77815094339623,53.0
Nick Heidfeld,32,115.53122950819672,56.0
Nick Heidfeld,33,81.7315223880597,56.0
Nick Heidfeld,34,99.04153571428571,60.0
Nick Heidfeld,35,80.89658571428572,60.0
Nick Heidfeld,36,89.09539655172415,5.0
Nick Heidfeld,37,99.44119642857143,10.0
Nick Heidfeld,38,98.62010526315788,15.0
Nick Heidfeld,39,87.25015217391305,15.0
Nick Heidfeld,40,78.76753246753248,18.0
Nick Heidfeld,41,89.36621428571429,26.0
Nick Heidfeld,42,75.7219090909091,26.0
Nick Heidfeld,43,78.6143,30.0
Nick Heidfeld,44,84.05779661016949,33.0
Nick Heidfeld,45,127.77759999999999,36.0
Nick Heidfeld,46,82.80171428571428,42.0
Nick Heidfeld,47,90.37646551724139,47.0
Nick Heidfeld,48,90.08241509433962,52.0
Nick Heidfeld,49,111.15784090909091,56.0
Nick Heidfeld,50,109.2038,56.0
Nick Heidfeld,51,106.29676785714285,58.0
Nick Heidfeld,52,75.5857323943662,61.0
Nick Heidfeld,53,96.36303571428572,0.0
Nick Heidfeld,54,98.14789583333334,0.0
Nick Heidfeld,55,99.98073684210526,5.0
Nick Heidfeld,56,89.74788524590164,5.0
Nick Heidfeld,57,97.76588135593221,5.0
Nick Heidfeld,58,80.0156,6.0
Nick Heidfeld,59,81.3572987012987,8.0
